rank,feature,importance,importance_pct,cum_pct,IV,IV_label,corr,coverage,is_derived
168,营业利润_T1,5,0.13329778725673155,97.62729938683016,0.05622819832474293,弱,0.007688700207936034,85.51779935275081,
169,盈利能力_T-2,5,0.13329778725673155,97.7605971740869,0.01110274344079653,极弱,-0.00033585767381039133,96.35922330097088,
170,资本支出_T,5,0.13329778725673155,97.89389496134363,0.029518541556527087,弱,-0.023055616874285555,85.51779935275081,
171,溢价率上限,5,0.13329778725673155,98.02719274860037,0.01732176757530641,极弱,0.04886074698296402,85.84142394822007,
172,行业漂移率,5,0.13329778725673155,98.16049053585711,0.06787963681249348,弱,0.09482479680257958,99.02912621359224,
173,行业MA20,5,0.13329778725673155,98.29378832311384,0.03533991802646198,弱,-0.03746439606174482,99.02912621359224,
174,MA30,4,0.10663822980538523,98.40042655291923,0.14576719013591427,中等,-0.09489865379970268,91.8284789644013,
175,折旧_T1,4,0.10663822980538523,98.50706478272461,0.06064271071100552,弱,0.009885844999480241,85.51779935275081,
176,行业区间收益_250d,4,0.10663822980538523,98.61370301253,0.04864369511671038,弱,0.070176405774384,99.02912621359224,
177,营业利润_YoY,4,0.10663822980538523,98.72034124233538,0.03958610548540298,弱,0.046523875200113675,85.51779935275081,🆕
178,DCF估值_通过,3,0.07997867235403892,98.80031991468942,0.0,极弱,0.020929377389502152,100.0,
179,胜率_20d,3,0.07997867235403892,98.88029858704347,0.024092170291832443,弱,-0.04369294891917862,99.67637540453075,
180,区间收益_250d,3,0.07997867235403892,98.96027725939751,0.04031385252816886,弱,-0.07606868324278719,94.90291262135922,
181,个股PE_通过,3,0.07997867235403892,99.04025593175156,0.0,极弱,-0.01081207918222668,100.0,
182,FCF_CAGR2,3,0.07997867235403892,99.1202346041056,0.016623379503221014,极弱,-0.018226864059000106,47.0873786407767,🆕
183,报价日价格,3,0.07997867235403892,99.20021327645965,0.17528109600399613,中等,-0.10279973705194907,99.59546925566343,
184,行业PE_120d增长,3,0.07997867235403892,99.2801919488137,0.05605043371887987,弱,-0.036859174681108595,31.22977346278317,🆕
185,FCF年份_T,3,0.07997867235403892,99.36017062116774,0.1972884475990379,中等,-0.024967040248472804,85.51779935275081,
186,行业PB_60d增长,3,0.07997867235403892,99.44014929352178,0.038434929192702166,弱,-0.00013251113647511602,34.06148867313916,🆕
187,NOPAT_T,3,0.07997867235403892,99.52012796587583,0.035124784870049545,弱,0.0065714893067601,85.51779935275081,
188,step2通过,2,0.053319114902692616,99.57344708077852,0.0,极弱,0.04954208349182826,100.0,
189,报价日MA20,2,0.053319114902692616,99.62676619568121,0.16351916261284877,中等,-0.10376713967886042,99.59546925566343,
190,营业利润_加速,2,0.053319114902692616,99.6800853105839,0.0370918441979943,弱,0.030392357929081612,85.51779935275081,🆕
191,折旧_T3,2,0.053319114902692616,99.7334044254866,0.056139540939924876,弱,0.004663012430372161,85.35598705501619,
192,行业PE_60d增长,1,0.026659557451346308,99.76006398293795,0.03849875546935819,弱,-0.019600325096378393,34.06148867313916,🆕
193,step1通过,1,0.026659557451346308,99.7867235403893,0.0,极弱,-0.015661915677900904,100.0,
194,有效阈值数,1,0.026659557451346308,99.81338309784066,0.000715114330911438,极弱,0.004725270195487293,99.67637540453075,
195,锁定价当前价,1,0.026659557451346308,99.84004265529201,0.17528109600399613,中等,-0.10279973705194907,99.59546925566343,
196,最新交易日,1,0.026659557451346308,99.86670221274336,0.12349081054956262,中等,-0.04352040635592158,91.8284789644013,
197,行业PE_通过,1,0.026659557451346308,99.89336177019472,0.0,极弱,-0.008947512680195766,100.0,
198,修正PE估值_通过,1,0.026659557451346308,99.92002132764607,0.0,极弱,0.030188350695878996,100.0,
199,NOPAT_T1,1,0.026659557451346308,99.94668088509742,0.05622819832474293,弱,0.0076795992020337375,85.51779935275081,
200,蒙特卡洛_通过,1,0.026659557451346308,99.97334044254877,0.0,极弱,-0.02945872689269945,100.0,
201,NOPAT_T3,1,0.026659557451346308,100.00000000000013,0.0280506722439784,弱,-0.009366767842549969,85.43689320388349,
202,评级_T-4,0,0.0,100.00000000000013,,无法计算,,0.0,
203,评级_T-1,0,0.0,100.00000000000013,,无法计算,,0.0,
204,评级_T-3,0,0.0,100.00000000000013,,无法计算,,0.0,
205,评级_T,0,0.0,100.00000000000013,,无法计算,,0.0,
206,市场_above_MA250,0,0.0,100.00000000000013,0.0,极弱,0.08243329958934312,99.59546925566343,🆕
207,营运资金变动_T4,0,0.0,100.00000000000013,,无法计算,,85.19417475728154,
208,评级_T-2,0,0.0,100.00000000000013,,无法计算,,0.0,
209,总资产净利率,0,0.0,100.00000000000013,0.00509026579750299,极弱,0.03503235524314638,0.40453074433656955,
210,ROE,0,0.0,100.00000000000013,0.00509026579750299,极弱,0.008705907623390999,0.40453074433656955,
211,ROE摊薄,0,0.0,100.00000000000013,0.00509026579750299,极弱,0.01438783689433041,0.40453074433656955,
212,现金流动负债比,0,0.0,100.00000000000013,0.00010005856602241699,极弱,-0.04170766063887288,0.40453074433656955,
213,现金利息负债比,0,0.0,100.00000000000013,0.00010005856602241699,极弱,0.0023639178001439477,0.40453074433656955,
214,净利率,0,0.0,100.00000000000013,0.012967290069900713,极弱,0.040800035420126154,0.40453074433656955,
215,毛利率,0,0.0,100.00000000000013,0.00010005856602241699,极弱,0.013372912676024844,0.40453074433656955,
216,FCF年份_T4,0,0.0,100.00000000000013,0.19642348429877576,中等,-0.021523048435735624,85.19417475728154,
217,财报年份,0,0.0,100.00000000000013,0.0,极弱,-0.004988748747633047,0.40453074433656955,
218,流动比率,0,0.0,100.00000000000013,0.00010005856602241699,极弱,0.009425265342346898,0.40453074433656955,
219,速动比率,0,0.0,100.00000000000013,0.00010005856602241699,极弱,-0.01707799901997246,0.40453074433656955,
220,存货周转率,0,0.0,100.00000000000013,0.00010005856602241699,极弱,-0.01590758621582775,0.40453074433656955,
221,应收账款周转率,0,0.0,100.00000000000013,0.00010005856602241699,极弱,0.0046149152898655975,0.40453074433656955,
222,流动资产周转率,0,0.0,100.00000000000013,0.00010005856602241699,极弱,-0.017294625930802825,0.40453074433656955,
223,总资产周转率,0,0.0,100.00000000000013,0.00010005856602241699,极弱,-0.009636349595543915,0.40453074433656955,
224,ROA,0,0.0,100.00000000000013,0.00509026579750299,极弱,0.028576518398028425,0.40453074433656955,
225,ROE增长,0,0.0,100.00000000000013,0.012967290069900713,极弱,0.030001380117220037,0.40453074433656955,
226,总营收增长,0,0.0,100.00000000000013,0.012967290069900713,极弱,0.03254097285222901,0.40453074433656955,
227,营收增长2,0,0.0,100.00000000000013,0.012967290069900713,极弱,0.03254097285222901,0.40453074433656955,
228,净资产增长,0,0.0,100.00000000000013,0.00010005856602241699,极弱,0.0047513895469873495,0.40453074433656955,
229,report_year,0,0.0,100.00000000000013,,无法计算,,0.40453074433656955,
